metrics,kmean,spectral,hierarchical-ward,hierarchical-average,hierarchical-complete
homogeneity_score,0.42,0.43,0.26,0.05,0.05
completeness_score,0.52,0.41,0.41,0.24,0.24
v_measure_score,0.46,0.42,0.32,0.09,0.09
adjusted_rand_score,0.49,0.42,0.29,0.05,0.05
silhouette_score,0.7,0.41,0.69,0.69,0.69
