metrics,kmean,spectral,hierarchical-ward,hierarchical-average,hierarchical-complete
homogeneity_score,1.0,1.0,1.0,1.0,1.0
completeness_score,1.0,1.0,1.0,1.0,1.0
v_measure_score,1.0,1.0,1.0,1.0,1.0
adjusted_rand_score,1.0,1.0,1.0,1.0,1.0
silhouette_score,0.81,0.81,0.81,0.81,0.81
