metrics,kmean,spectral,hierarchical-ward,hierarchical-average,hierarchical-complete
homogeneity_score,0.7,0.67,0.51,0.49,0.49
completeness_score,0.45,0.47,0.37,0.48,0.48
v_measure_score,0.55,0.55,0.43,0.49,0.49
adjusted_rand_score,0.52,0.58,0.48,0.47,0.47
silhouette_score,0.41,0.42,0.42,0.49,0.49
