,test_accuracy,keras_testacc,keras_testloss,keras_crossval,sklean_crossval
Breast Cancer,0.6436170212765957,0.835106372833252,1.2280960793190814,0.8191102743148804,0.6923245614035087
leukemia,1.0,1.0,0.03251254744827747,0.8732143640518188,0.9285714285714286
splex_host,0.6666666666666666,0.6000000238418579,10.225232124328613,0.30000001192092896,0.6199999999999999
splex_micro,0.6,0.5333333611488342,1.1910194158554077,0.675000011920929,0.85
splex_env,0.4,0.5333333611488342,1.4644551277160645,0.5700000524520874,0.4800000000000001
splex_full,0.6,0.3333333432674408,12.703557968139648,0.5199999809265137,0.36
